//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-26-2020
//--  Time: 11:29
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 42200.0 Ohms
//--    Temperature1: 68.0(F), 	Resistance 1: 41500.0 Ohms 
//--    Temperature2: 122.0(F), 	Resistance 2: 11850.0 Ohms 
//--    Temperature3: 185.0(F), 	Resistance 3: 3500.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
315	101.06	1011 	1.538
316	100.86	1009 	1.543
317	100.66	1007 	1.548
318	100.46	1005 	1.553
319	100.26	1003 	1.558
320	100.06	1001 	1.563
321	99.86	999 	1.567
322	99.66	997 	1.572
323	99.46	995 	1.577
324	99.26	993 	1.582
325	99.07	991 	1.587
326	98.87	989 	1.592
327	98.67	987 	1.597
328	98.48	985 	1.602
329	98.28	983 	1.606
330	98.09	981 	1.611
331	97.89	979 	1.616
332	97.70	977 	1.621
333	97.50	975 	1.626
334	97.31	973 	1.631
335	97.12	971 	1.636
336	96.92	969 	1.641
337	96.73	967 	1.646
338	96.54	965 	1.650
339	96.35	963 	1.655
340	96.16	962 	1.660
341	95.97	960 	1.665
342	95.78	958 	1.670
343	95.59	956 	1.675
344	95.40	954 	1.680
345	95.21	952 	1.685
346	95.02	950 	1.689
347	94.83	948 	1.694
348	94.64	946 	1.699
349	94.46	945 	1.704
350	94.27	943 	1.709
351	94.08	941 	1.714
352	93.90	939 	1.719
353	93.71	937 	1.724
354	93.52	935 	1.729
355	93.34	933 	1.733
356	93.15	932 	1.738
357	92.97	930 	1.743
358	92.78	928 	1.748
359	92.60	926 	1.753
360	92.42	924 	1.758
361	92.23	922 	1.763
362	92.05	921 	1.768
363	91.87	919 	1.772
364	91.69	917 	1.777
365	91.50	915 	1.782
366	91.32	913 	1.787
367	91.14	911 	1.792
368	90.96	910 	1.797
369	90.78	908 	1.802
370	90.60	906 	1.807
371	90.42	904 	1.812
372	90.24	902 	1.816
373	90.06	901 	1.821
374	89.88	899 	1.826
375	89.70	897 	1.831
376	89.52	895 	1.836
377	89.35	893 	1.841
378	89.17	892 	1.846
379	88.99	890 	1.851
380	88.81	888 	1.855
381	88.64	886 	1.860
382	88.46	885 	1.865
383	88.28	883 	1.870
384	88.11	881 	1.875
385	87.93	879 	1.880
386	87.75	878 	1.885
387	87.58	876 	1.890
388	87.40	874 	1.895
389	87.23	872 	1.899
390	87.06	871 	1.904
391	86.88	869 	1.909
392	86.71	867 	1.914
393	86.53	865 	1.919
394	86.36	864 	1.924
395	86.19	862 	1.929
396	86.01	860 	1.934
397	85.84	858 	1.938
398	85.67	857 	1.943
399	85.50	855 	1.948
400	85.33	853 	1.953
401	85.15	852 	1.958
402	84.98	850 	1.963
403	84.81	848 	1.968
404	84.64	846 	1.973
405	84.47	845 	1.978
406	84.30	843 	1.982
407	84.13	841 	1.987
408	83.96	840 	1.992
409	83.79	838 	1.997
410	83.62	836 	2.002
411	83.45	835 	2.007
412	83.28	833 	2.012
413	83.11	831 	2.017
414	82.95	829 	2.021
415	82.78	828 	2.026
416	82.61	826 	2.031
417	82.44	824 	2.036
418	82.27	823 	2.041
419	82.11	821 	2.046
420	81.94	819 	2.051
421	81.77	818 	2.056
422	81.61	816 	2.061
423	81.44	814 	2.065
424	81.27	813 	2.070
425	81.11	811 	2.075
426	80.94	809 	2.080
427	80.78	808 	2.085
428	80.61	806 	2.090
429	80.44	804 	2.095
430	80.28	803 	2.100
431	80.11	801 	2.104
432	79.95	799 	2.109
433	79.78	798 	2.114
434	79.62	796 	2.119
435	79.46	795 	2.124
436	79.29	793 	2.129
437	79.13	791 	2.134
438	78.96	790 	2.139
439	78.80	788 	2.144
440	78.64	786 	2.148
441	78.48	785 	2.153
442	78.31	783 	2.158
443	78.15	781 	2.163
444	77.99	780 	2.168
445	77.82	778 	2.173
446	77.66	777 	2.178
447	77.50	775 	2.183
448	77.34	773 	2.188
449	77.18	772 	2.192
450	77.02	770 	2.197
451	76.85	769 	2.202
452	76.69	767 	2.207
453	76.53	765 	2.212
454	76.37	764 	2.217
455	76.21	762 	2.222
456	76.05	760 	2.227
457	75.89	759 	2.231
458	75.73	757 	2.236
459	75.57	756 	2.241
460	75.41	754 	2.246
461	75.25	752 	2.251
462	75.09	751 	2.256
463	74.93	749 	2.261
464	74.77	748 	2.266
465	74.61	746 	2.271
466	74.45	745 	2.275
467	74.29	743 	2.280
468	74.13	741 	2.285
469	73.98	740 	2.290
470	73.82	738 	2.295
471	73.66	737 	2.300
472	73.50	735 	2.305
473	73.34	733 	2.310
474	73.18	732 	2.314
475	73.03	730 	2.319
476	72.87	729 	2.324
477	72.71	727 	2.329
478	72.55	726 	2.334
479	72.40	724 	2.339
480	72.24	722 	2.344
481	72.08	721 	2.349
482	71.92	719 	2.354
483	71.77	718 	2.358
484	71.61	716 	2.363
485	71.45	715 	2.368
486	71.30	713 	2.373
487	71.14	711 	2.378
488	70.99	710 	2.383
489	70.83	708 	2.388
490	70.67	707 	2.393
491	70.52	705 	2.397
492	70.36	704 	2.402
493	70.21	702 	2.407
494	70.05	700 	2.412
495	69.89	699 	2.417
496	69.74	697 	2.422
497	69.58	696 	2.427
498	69.43	694 	2.432
499	69.27	693 	2.437
500	69.12	691 	2.441
501	68.96	690 	2.446
502	68.81	688 	2.451
503	68.65	687 	2.456
504	68.50	685 	2.461
505	68.34	683 	2.466
506	68.19	682 	2.471
507	68.03	680 	2.476
508	67.88	679 	2.480
509	67.73	677 	2.485
510	67.57	676 	2.490
511	67.42	674 	2.495
512	67.26	673 	2.500
513	67.11	671 	2.505
514	66.96	670 	2.510
515	66.80	668 	2.515
516	66.65	666 	2.520
517	66.49	665 	2.524
518	66.34	663 	2.529
519	66.19	662 	2.534
520	66.03	660 	2.539
521	65.88	659 	2.544
522	65.73	657 	2.549
523	65.57	656 	2.554
524	65.42	654 	2.559
525	65.27	653 	2.563
526	65.11	651 	2.568
527	64.96	650 	2.573
528	64.81	648 	2.578
529	64.66	647 	2.583
530	64.50	645 	2.588
531	64.35	644 	2.593
532	64.20	642 	2.598
533	64.04	640 	2.603
534	63.89	639 	2.607
535	63.74	637 	2.612
536	63.59	636 	2.617
537	63.43	634 	2.622
538	63.28	633 	2.627
539	63.13	631 	2.632
540	62.98	630 	2.637
541	62.83	628 	2.642
542	62.67	627 	2.646
543	62.52	625 	2.651
544	62.37	624 	2.656
545	62.22	622 	2.661
546	62.06	621 	2.666
547	61.91	619 	2.671
548	61.76	618 	2.676
549	61.61	616 	2.681
550	61.46	615 	2.686
551	61.31	613 	2.690
552	61.15	612 	2.695
553	61.00	610 	2.700
554	60.85	608 	2.705
555	60.70	607 	2.710
556	60.55	605 	2.715
557	60.39	604 	2.720
558	60.24	602 	2.725
559	60.09	601 	2.729
560	59.94	599 	2.734
